Gene,log2FoldChange,pvalue,padj,minus_log10_pvalue,Change
NSMCE4A,0.0555,0.8319,0.9994,0.079928876,Similar
TACC2,0.2478,0.2319,0.9994,0.634699251,Similar
PLEKHA1,-0.07187,0.8098,0.9994,0.091622228,Similar
HTRA1,-0.5219,0.1071,0.9994,0.970210529,Similar
DMBT1,-0.1407,0.706,0.9994,0.151195299,Similar
FAM24B,0.3044,0.4212,0.9994,0.375511637,Similar
LOC399815,0.2472,0.5018,0.9994,0.299469343,Similar
PSTK,-0.06308,0.6868,0.9994,0.163169714,Similar
IKZF5,-0.02956,0.9112,0.9994,0.040386289,Similar
ACADSB,-0.009707,0.9698,0.9994,0.01331782,Similar
HMX3,-0.004706,0.9903,0.9994,0.004233221,Similar
HMX2,-0.122,0.7488,0.9994,0.125634164,Similar
BUB3,-0.07757,0.76,0.9994,0.119186408,Similar
CPXM2,0.1831,0.5493,0.9994,0.260190401,Similar
CHST15,-0.1417,0.5015,0.9994,0.299729063,Similar
FAM53B,0.08264,0.7625,0.9994,0.117760152,Similar
METTL10,0.1494,0.2965,0.9994,0.527975302,Similar
FAM175B,0.09521,0.4192,0.9994,0.377578726,Similar
CTBP2,0.1264,0.4922,0.9994,0.307858391,Similar
FLJ37035,0.1254,0.7412,0.9994,0.130064589,Similar
C10orf137,0.00353,0.9882,0.9994,0.00515515,Similar
UROS,-0.0619,0.8411,0.9994,0.075152367,Similar
BCCIP,0.08615,0.6768,0.9994,0.16953965,Similar
DHX32,0.1505,0.5793,0.9994,0.237096472,Similar
FANK1,-0.02223,0.9537,0.9994,0.020588217,Similar
FAM196A,0.4468,0.2323,0.9994,0.63395079,Similar
PTPRE,0.3837,0.2596,0.9994,0.585695312,Similar
MKI67,-0.4955,0.1337,0.9994,0.873868593,Similar
MGMT,-0.4149,0.1439,0.9994,0.841939206,Similar
EBF3,0.2298,0.5198,0.9994,0.284163725,Similar
LOC387723,-0.2784,0.4486,0.9994,0.348140731,Similar
CTAGE7P,0.131,0.7178,0.9994,0.143996546,Similar
GLRX3,-0.108,0.6252,0.9994,0.203981031,Similar
PPP2R2D,-0.06152,0.8218,0.9994,0.085233863,Similar
BNIP3,-0.05533,0.8835,0.9994,0.053793446,Similar
JAKMIP3,0.2985,0.3957,0.9994,0.40263395,Similar
STK32C,0.3856,0.123,0.9994,0.910094889,Similar
LRRC27,0.1983,0.4345,0.9994,0.362010219,Similar
PWWP2B,0.1075,0.7395,0.9994,0.131061822,Similar
INPP5A,-0.0374,0.847,0.9994,0.07211659,Similar
TTC40,0.2026,0.597,0.9994,0.224025669,Similar
GPR123,0.4724,0.1978,0.9994,0.703773713,Similar
KNDC1,-0.1295,0.6205,0.9994,0.207258214,Similar
ADAM8,0.1322,0.7031,0.9994,0.152982902,Similar
TUBGCP2,0.06207,0.6384,0.9994,0.194907122,Similar
ZNF511,-0.1031,0.6328,0.9994,0.19873353,Similar
CALY,0.3289,0.3597,0.9994,0.444059562,Similar
PRAP1,-0.2434,0.52,0.9994,0.283996656,Similar
C10orf125,0.01824,0.9543,0.9994,0.020315076,Similar
ECHS1,0.02876,0.9181,0.9994,0.037110013,Similar
PAOX,-0.2366,0.5158,0.9994,0.287518662,Similar
MTG1,-0.1138,0.7215,0.9994,0.141763665,Similar
SPRN,0.2808,0.4265,0.9994,0.370080964,Similar
LOC619207,-0.1686,0.6672,0.9994,0.175743962,Similar
CYP2E1,-0.1975,0.6112,0.9994,0.213816654,Similar
LOC100133161,-0.06011,0.8687,0.9994,0.061130178,Similar
BET1L,-0.1755,0.489,0.9994,0.310691141,Similar
RIC8A,0.1403,0.5407,0.9994,0.26704363,Similar
SIRT3,0.01214,0.9563,0.9994,0.019405844,Similar
PSMD13,0.03208,0.844,0.9994,0.073657553,Similar
